"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"10.01.2017 07:00 - 10.01.2017 08:00","9350","7635"
"10.01.2017 08:00 - 10.01.2017 09:00","9927","8327"
"10.01.2017 09:00 - 10.01.2017 10:00","9893","8757"
"10.01.2017 10:00 - 10.01.2017 11:00","9904","8779"
"10.01.2017 11:00 - 10.01.2017 12:00","10060","8856"
"10.01.2017 12:00 - 10.01.2017 13:00","10040","8785"
"10.01.2017 13:00 - 10.01.2017 14:00","9825","8603"
"10.01.2017 14:00 - 10.01.2017 15:00","9937","8669"
"10.01.2017 15:00 - 10.01.2017 16:00","9650","8439"
"10.01.2017 16:00 - 10.01.2017 17:00","9974","8321"
"10.01.2017 17:00 - 10.01.2017 18:00","9917","8324"
"10.01.2017 18:00 - 10.01.2017 19:00","10001","8704"
"10.01.2017 19:00 - 10.01.2017 20:00","9522","8679"
"10.01.2017 20:00 - 10.01.2017 21:00","9418","8329"
"10.01.2017 21:00 - 10.01.2017 22:00","8821","7875"
"10.01.2017 22:00 - 10.01.2017 23:00","8311","7507"
"10.01.2017 23:00 - 11.01.2017 00:00","8271","7312"
"11.01.2017 00:00 - 11.01.2017 01:00","7729","7043"
"11.01.2017 01:00 - 11.01.2017 02:00","8163","7219"
"11.01.2017 02:00 - 11.01.2017 03:00","7911","7346"
"11.01.2017 03:00 - 11.01.2017 04:00","8155","7366"
"11.01.2017 04:00 - 11.01.2017 05:00","7729","7321"
"11.01.2017 05:00 - 11.01.2017 06:00","7868","6901"
"11.01.2017 06:00 - 11.01.2017 07:00","8200","6822"
"11.01.2017 07:00 - 11.01.2017 08:00","9329","7509"
"11.01.2017 08:00 - 11.01.2017 09:00","9933","8261"
"11.01.2017 09:00 - 11.01.2017 10:00","9935","8590"
"11.01.2017 10:00 - 11.01.2017 11:00","9940","8544"
"11.01.2017 11:00 - 11.01.2017 12:00","9839","8548"
"11.01.2017 12:00 - 11.01.2017 13:00","9595","8506"
"11.01.2017 13:00 - 11.01.2017 14:00","9587","8368"
"11.01.2017 14:00 - 11.01.2017 15:00","9448","8324"
"11.01.2017 15:00 - 11.01.2017 16:00","9640","8235"
"11.01.2017 16:00 - 11.01.2017 17:00","9462","8233"
"11.01.2017 17:00 - 11.01.2017 18:00","9667","8354"
"11.01.2017 18:00 - 11.01.2017 19:00","9857","8572"
"11.01.2017 19:00 - 11.01.2017 20:00","9655","8611"
"11.01.2017 20:00 - 11.01.2017 21:00","9065","8225"
"11.01.2017 21:00 - 11.01.2017 22:00","8214","7775"
"11.01.2017 22:00 - 11.01.2017 23:00","7945","7343"
"11.01.2017 23:00 - 12.01.2017 00:00","8203","7054"
"12.01.2017 00:00 - 12.01.2017 01:00","7616","6748"
"12.01.2017 01:00 - 12.01.2017 02:00","7568","6641"
"12.01.2017 02:00 - 12.01.2017 03:00","7674","6520"
"12.01.2017 03:00 - 12.01.2017 04:00","7564","6454"
"12.01.2017 04:00 - 12.01.2017 05:00","7654","6701"
"12.01.2017 05:00 - 12.01.2017 06:00","7593","6590"
"12.01.2017 06:00 - 12.01.2017 07:00","8062","6625"
"12.01.2017 07:00 - 12.01.2017 08:00","8728","7323"
"12.01.2017 08:00 - 12.01.2017 09:00","9367","8107"
"12.01.2017 09:00 - 12.01.2017 10:00","9703","8538"
"12.01.2017 10:00 - 12.01.2017 11:00","9749","8609"
